design,lat_avg_cycles,lut,ff,dsp,bram,lat_avg_seconds,clock_period_s,path
polybench_gemm_opt_068fffedcd5a4b46a01d016cdbc467a5,1058847,2832,2448,10,32,0.007699935384000001,7.2720000000000005e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_068fffedcd5a4b46a01d016cdbc467a5/data_hls.json"
polybench_gemm_opt_1d0456fb7d792df0368335c9a6168e19,1057823,3404,3076,20,32,0.0074216861680000005,7.016000000000001e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_1d0456fb7d792df0368335c9a6168e19/data_hls.json"
polybench_gemm_opt_26bbddd40c80b74c74e77ca21dc15579,1053775,9547,17668,20,32,0.007849569975,7.449e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_26bbddd40c80b74c74e77ca21dc15579/data_hls.json"
polybench_gemm_opt_2d63676a786f78928052b7edd9226a3e,8482,91432,147658,688,328,5.9509712e-05,7.016000000000001e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_2d63676a786f78928052b7edd9226a3e/data_hls.json"
polybench_gemm_opt_44d6f7e84d3d54ac55e4430a8a07dcbb,1049766,35852,57397,160,168,0.007633898352,7.2720000000000005e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_44d6f7e84d3d54ac55e4430a8a07dcbb/data_hls.json"
polybench_gemm_opt_8966d9a97f2faa4066aa863ed1710708,2846,147707,180100,1472,144,1.9967536000000003e-05,7.016000000000001e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_8966d9a97f2faa4066aa863ed1710708/data_hls.json"
polybench_gemm_opt_94b3d262c37c6601797a5528790ea862,13086,38864,44480,512,152,9.181137600000001e-05,7.016000000000001e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_94b3d262c37c6601797a5528790ea862/data_hls.json"
polybench_gemm_opt_95a1788f94a70820650d31668377dc99,1054754,3766,3663,10,40,0.0076701710880000004,7.2720000000000005e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_95a1788f94a70820650d31668377dc99/data_hls.json"
polybench_gemm_opt_a607e7f85e9e3b7d84909058c696def8,1060895,2325,1764,5,32,0.007714828440000001,7.2720000000000005e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_a607e7f85e9e3b7d84909058c696def8/data_hls.json"
polybench_gemm_opt_fc9a4ea72a20d8a1178e8943b610d280,1057311,5437,5332,40,40,0.007418093976000001,7.016000000000001e-09,"/nethome/jjun49/hlsfactory_work/designset_gemm/polybench_gemm_opt_fc9a4ea72a20d8a1178e8943b610d280/data_hls.json"
